Artist,Type,Releases,# Albums in Catalog,Percentage of Catalog
Bobby McFerrin,Soundtrack,1,14,0.07142857142857142
Bobby McFerrin,Studio,6,14,0.42857142857142855
Bon Jovi,Compilation,6,49,0.12244897959183673
Bon Jovi,Live,3,49,0.061224489795918366
Bon Jovi,Other,12,49,0.24489795918367346
Bon Jovi,Studio,14,49,0.2857142857142857
Bon Jovi,Video,14,49,0.2857142857142857
Bone Thugs-n-Harmony,Compilation,7,18,0.3888888888888889
Bone Thugs-n-Harmony,Studio,11,18,0.6111111111111112
Boyzone,Compilation,14,48,0.2916666666666667
Boyzone,Cover,8,48,0.16666666666666666
Boyzone,Studio,26,48,0.5416666666666666
Breaking Benjamin,Compilation,1,7,0.14285714285714285
Breaking Benjamin,Studio,6,7,0.8571428571428571
Bridgit Mendler,Extended Play,2,3,0.6666666666666666
Bridgit Mendler,Studio,1,3,0.3333333333333333
Bryan Adams,Collaboration,7,32,0.21875
Bryan Adams,Compilation,5,32,0.15625
Bryan Adams,Live,5,32,0.15625
Bryan Adams,Soundtrack,1,32,0.03125
Bryan Adams,Studio,14,32,0.4375
Buckcherry,Extended Play,1,11,0.09090909090909091
Buckcherry,Live,1,11,0.09090909090909091
Buckcherry,Studio,8,11,0.7272727272727273
Buckcherry,Video,1,11,0.09090909090909091
Bullet for My Valentine,Live,4,4,1.0
Bun B,Compilation,2,13,0.15384615384615385
Bun B,Studio,11,13,0.8461538461538461
Busta Rhymes,Compilation,4,6,0.6666666666666666
Busta Rhymes,Studio,2,6,0.3333333333333333
Butthole Surfers,Compilation,3,13,0.23076923076923078
Butthole Surfers,Live,2,13,0.15384615384615385
Butthole Surfers,Studio,8,13,0.6153846153846154
Carly Rae Jepsen,Compilation,2,8,0.25
Carly Rae Jepsen,Extended Play,2,8,0.25
Carly Rae Jepsen,Studio,4,8,0.5
Carrie Underwood,Collaboration,5,18,0.2777777777777778
Carrie Underwood,Compilation,1,18,0.05555555555555555
Carrie Underwood,Extended Play,5,18,0.2777777777777778
Carrie Underwood,Studio,6,18,0.3333333333333333
Carrie Underwood,Video,1,18,0.05555555555555555
Cascada,Compilation,4,9,0.4444444444444444
Cascada,Remix,1,9,0.1111111111111111
Cascada,Studio,4,9,0.4444444444444444
Cash Cash,Studio,4,4,1.0
Cassadee Pope,Studio,3,3,1.0
Cassper Nyovest,Studio,3,3,1.0
Chamillionaire,Collaboration,2,8,0.25
Chamillionaire,Mixtape,4,8,0.5
Chamillionaire,Studio,2,8,0.25
Charles Aznavour,Collaboration,1,12,0.08333333333333333
Charles Aznavour,Compilation,1,12,0.08333333333333333
Charles Aznavour,Studio,10,12,0.8333333333333334
Chenoa,Other,1,5,0.2
Chenoa,Studio,4,5,0.8
Cher,Compilation,8,38,0.21052631578947367
Cher,Soundtrack,4,38,0.10526315789473684
Cher,Studio,26,38,0.6842105263157895
Cher Lloyd,Studio,2,2,1.0
Chester French,Studio,1,1,1.0
Children of Bodom,Compilation,3,16,0.1875
Children of Bodom,Extended Play,1,16,0.0625
Children of Bodom,Live,2,16,0.125
Children of Bodom,Studio,10,16,0.625
Chris Cornell,Compilation,6,30,0.2
Chris Cornell,Extended Play,7,30,0.23333333333333334
Chris Cornell,Live,3,30,0.1
Chris Cornell,Studio,14,30,0.4666666666666667
Chris Daughtry,Compilation,1,6,0.16666666666666666
Chris Daughtry,Studio,5,6,0.8333333333333334
Chris Stapleton,Studio,3,3,1.0
Christina Milian,Other,3,6,0.5
Christina Milian,Studio,3,6,0.5
Chumbawamba,Other,4,18,0.2222222222222222
Chumbawamba,Studio,14,18,0.7777777777777778
Ciara,Studio,7,8,0.875
Ciara,Video,1,8,0.125
Cinema Bizarre,Studio,3,3,1.0
Coal Chamber,Compilation,3,7,0.42857142857142855
Coal Chamber,Studio,4,7,0.5714285714285714
Colbie Caillat,Studio,6,6,1.0
Colby O'Donis,Studio,8,8,1.0
Coldplay,Compilation,1,12,0.08333333333333333
Coldplay,Extended Play,11,12,0.9166666666666666
Counting Crows,Compilation,2,13,0.15384615384615385
Counting Crows,Live,4,13,0.3076923076923077
Counting Crows,Studio,7,13,0.5384615384615384
Craig David,Compilation,2,9,0.2222222222222222
Craig David,Studio,7,9,0.7777777777777778
Crashdïet,Extended Play,1,5,0.2
Crashdïet,Studio,4,5,0.8
Crazy Frog,Studio,3,3,1.0
Crystal Castles,Extended Play,3,7,0.42857142857142855
Crystal Castles,Studio,4,7,0.5714285714285714
Crystal Kay,Compilation,4,14,0.2857142857142857
Crystal Kay,Studio,10,14,0.7142857142857143
Curren$y,Collaboration,5,19,0.2631578947368421
Curren$y,Compilation,1,19,0.05263157894736842
Curren$y,Mixtape,5,19,0.2631578947368421
Curren$y,Studio,8,19,0.42105263157894735
Cut Copy,Extended Play,1,7,0.14285714285714285
Cut Copy,Other,1,7,0.14285714285714285
Cut Copy,Studio,5,7,0.7142857142857143
Cyndi Lauper,Compilation,8,20,0.4
Cyndi Lauper,Studio,12,20,0.6
Cássia Eller,Compilation,2,13,0.15384615384615385
Cássia Eller,Extended Play,1,13,0.07692307692307693
Cássia Eller,Live,4,13,0.3076923076923077
Cássia Eller,Studio,6,13,0.46153846153846156
D12,Compilation,2,4,0.5
D12,Studio,2,4,0.5
DJ Khaled,Studio,11,11,1.0
DJ Snake,Studio,1,1,1.0
DNCE,Extended Play,1,2,0.5
DNCE,Studio,1,2,0.5
Daddy Yankee,Compilation,3,13,0.23076923076923078
Daddy Yankee,Live,2,13,0.15384615384615385
Daddy Yankee,Soundtrack,1,13,0.07692307692307693
Daddy Yankee,Studio,7,13,0.5384615384615384
Daniel Merriweather,Studio,1,1,1.0
